top-lunch-score,top-prefecture,top-telephone,shop-transportation,shop-addresses,top-overall-score,features-first-reviewer,features-the-homepage,shop-categories,seats-mobile-phone,top-subcategory-two,seats-non-smoking-smoking,shop-budget,top-category,features-remarks,menu-dishes,seats-parking-lot,shop-restaurant-name,menu-drink,shop-operating-hours,features-location,url,shop-cards,features-occasion,top-name,top-night-score,top-budget-lunch,top-comments,seats-number-of-seats,seats-private-use,top-budget-night,menu-all-you-can-drink,top-nearest-station,seats-space-facilities,menu-course,shop-shop-holidays,top-subcategory-one,shop-tel-reservation,seats-private-dining-rooms
-,Saga,"
                  0952-28-1129
                  (+81-952-28-1129)                ","鍋島駅から徒歩15分、車で6分 1,304 meters from Nabeshima.",1-2-43 Shineinishi Saga Saga 佐賀県 佐賀市 新栄西 1-2-43 Show larger map,-,麺らー,,"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",docomo、au、SoftBank、Y!mobile,Izakaya (Tavern),Smoking establishment,"Dinner: ￥3,000～￥3,999",Yakiniku (BBQ Beef),,"Particular about vegetable,Vegetarian menu",yes (専用駐車場20台完備),yakinikuushinojin (焼肉 牛ノ陣),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about cocktails","17：00～翌1：00(LO0：00) Late night (After 10 PM), Open on sundays",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41005425/,Available (VISA、MASTER、JCB),Banquets/party This occasion is recommended by many people.,yakinikuushinojin,-,,2,35 Seats (4名テーブル×5、6名テーブル×2),Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥4,000 - ¥5,000)","
                  Nabeshima
                ","Stylish space,Comfortable space,Wide seat,Tatami seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000),Course (over ¥10,000)",年中無休,Horumon (BBQ Offel),0952-28-1129 (+81-952-28-1129) 予約可,yes For 2 people、For 4 people、For 10-20 people、For 20-30 people (4名個室が2部屋)
3.00,Saga,"
                  050-5872-5304
                  (+81-50-5872-5304)                ","ＪＲ長崎本線佐賀駅 徒歩12分 1,005 meters from Saga.",2-3-14 Shirayama Saga Saga 佐賀県 佐賀市 白山 2-3-14 Show larger map,3.00,PQPQ5777,https://line.me/R/ti/p/%40iny9969t,"Sushi, Tempura, Kappo (Traditional Japanese)",docomo、au、SoftBank、Y!mobile,Kappo (Traditional Japanese),Smoking establishment (カウンターのみ禁煙、ランチタイム全席禁煙),"Dinner: ￥3,000～￥3,999 Lunch: ～￥999",Sushi,,Particular about vegetable,yes (4〜5台),sushitsubakiaburatempurayatsuki (鮨・椿油天ぷら 八木),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails",『ランチ』11:30～14:00（天ぷらのみ） 『ディナー』17:30～23:00（L.O.22:30） Lunch,"Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410101/41004296/,Not Available,With friends/co-workers This occasion is recommended by many people.,sushitsubakiaburatempurayatsuki,3.00, ～￥999,4,20 Seats,Available (Up to 20 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Comfortable space,Counter,Tatami seats","Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000),Course (¥8,000 - ¥10,000),Course (over ¥10,000)",日曜日（祝日は夜のみ営業）,Tempura,050-5872-5304 (+81-50-5872-5304) (For reservation only) 0952-23-0541 (+81-952-23-0541) (For inquiry) 予約可,yes (※個室の詳細はお店にお問い合わせください)
-,Saga,"
                  050-5589-6382
                  (+81-50-5589-6382)                ",JR佐賀駅より徒歩3分佐賀駅バスセンターより市役所側の横断歩道を渡ったところに当店がございます。 278 meters from Saga.,12 Sakaemachi Saga Saga 佐賀県 佐賀市 栄町 12 Show larger map,3.02,あやまんJapan,http://www.localplace.jp/t100074631/,"Izakaya (Tavern), Motsu Nabe (Offel Hot Pot), Yakitori (Grilled chicken)",docomo、au、SoftBank、Y!mobile,Yakitori (Grilled chicken),Smoking establishment,"Dinner: ￥2,000～￥2,999",Izakaya (Tavern),,"Particular about vegetable,Particular about fish",yes (3台分ございます。※近隣にコインパーキングもございます。),Senya (せん屋),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Cocktails","17：00～0：00 Late night (After 10 PM), Open on sundays",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41003159/,Not Available,"Banquets/party,With friends/co-workers This occasion is recommended by many people.",Senya,3.02,,4,36 Seats (座敷6名×3、4名×4),Available (For 20-50 people),"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (up to ¥3,000),All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Stylish space,Comfortable space,Tatami seats","All-you-can-eat,Course (up to ¥3,000),Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",不定休,Motsu Nabe (Offel Hot Pot),050-5589-6382 (+81-50-5589-6382) (For reservation only) 0952-28-4565 (+81-952-28-4565) (For inquiry) 予約可 ※ご予約のお電話は13時以降より受付ております。(当日～3日前までのご予約はお電話ください。※ネット予約では空席なしと表示されますのでご注意ください。),no
-,Saga,"
                  050-5589-6384
                  (+81-50-5589-6384)                ",ＪＲ「田代駅」から国道３号線を北へ徒歩２０分。西鉄バス「姫方」停留所下車、徒歩２分です。 986 meters from Tashiro.,佐賀県鳥栖市姫方町341‐2 佐賀県 鳥栖市 姫方町 341‐2 Show larger map,-,,,"Korean cuisine, Yakiniku (BBQ Beef), Hot Pot (other)",docomo、au、SoftBank、Y!mobile,Hot Pot (other),Sectionalized smoking,"Dinner: ￥4,000～￥4,999 Lunch: ～￥999",Korean cuisine,詳しくはヒトサラのページを御覧下さい。,,yes (30台（無料）),wafuukankokuryouriwagyuuyakinikusourumama (和風韓国料理 和牛焼肉 ソウルママ),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails","【月・火・木～日・祝・祝前】ランチ１１：00～１４：３０【月・火・木～日・祝・祝前】ディナー １７：３０～２３：００ Lunch, Open on sundays","Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410103/41005603/,Not Available,,wafuukankokuryouriwagyuuyakinikusourumama,-, ～￥999,0,60 Seats (掘りごたつ１０席 ),Available (For 20-50 people、Over 50 people),"￥4,000～￥4,999","All-you-can-drink,All-you-can-drink (up to ¥3,000)","
                  Tashiro
                ","Comfortable space,Tatami seats,Horigotatsu seats,Sports TV","All-you-can-eat,Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",水曜日,Yakiniku (BBQ Beef),050-5589-6384 (+81-50-5589-6384) (For reservation only) 0942-50-8882 (+81-942-50-8882) (For inquiry) 予約可,no
3.00,Saga,"
                  050-5890-6961
                  (+81-50-5890-6961)                ",ＪＲ佐賀駅北口より徒歩3分 478 meters from Saga.,2-9-1 Ekimae Chuo Saga Saga 佐賀県 佐賀市 駅前中央 2-9-1 Show larger map,3.00,PQPQ5777,http://www.hanamori-k.jp/,"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Izakaya (Tavern)",docomo、au、SoftBank、Y!mobile,Izakaya (Tavern),Sectionalized smoking,"Dinner: ￥3,000～￥3,999 Lunch: ￥1,000～￥1,999",Yakiniku (BBQ Beef),,,yes (15台),Yakinikuhanamorikiwami (焼肉 華守キワミ),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","【金・土】11:00～翌5:00(L.O.翌4:00)【日～木】11:00～翌1:00(L.O.0：00)※ランチタイム(11:00～15:00) Lunch,Late night (After 10 PM),Late night (After midnight),Late night (Until morning) , Open on sundays","Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410101/41005143/,Not Available,"Banquets/party,Alone,With friends/co-workers This occasion is recommended by many people.",Yakinikuhanamorikiwami,3.00,"￥1,000～￥1,999",1,54 Seats (最大宴会人数50名様まで収容可能),Available (For 20-50 people、Over 50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (up to ¥3,000)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Tatami seats,Horigotatsu seats,Sports TV","Course (up to ¥3,000),Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",不定休,Horumon (BBQ Offel),050-5890-6961 (+81-50-5890-6961) (For reservation only) 0952-30-4100 (+81-952-30-4100) (For inquiry) 予約可 週末は特に混み合いますので、お早目のご予約をおすすめします。,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people、For 20-30 people、Over 30 people (全席個室となっております。6名個室席×9卓)
3.02,Saga,"
                  050-5570-7753
                  (+81-50-5570-7753)                ",JR長崎本線佐賀駅 徒歩3分 142 meters from Saga.,1-9-3 Ekimae Chuo Saga Saga 佐賀県 佐賀市 駅前中央 1-9-3 駅前横丁 1F Show larger map,3.01,たなちゃ,,"Izakaya (Tavern), Yakitori (Grilled chicken), Seafood",docomo、au、SoftBank、Y!mobile,Seafood,Smoking establishment,"Dinner: ￥3,000～￥3,999 Lunch: ￥1,000～￥1,999",Izakaya (Tavern),,"Particular about vegetable,Particular about fish",no,Hinomarushokudou (ヒノマル食堂 佐賀駅前店),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about cocktails","【平日・土・祝・祝前】 ディナー 17:00～00:00 (L.O.23:30)【平日・祝前】 ランチ 11:30～14:00 (L.O.13:45) 定休日： 日曜日 月曜日が祝日の場合、日曜日営業、月曜日休業 Lunch,Late night (After 10 PM)",,https://tabelog.com/en/saga/A4101/A410101/41003739/,Not Available,"Alone,With friends/co-workers This occasion is recommended by many people.",Hinomarushokudou,3.00,"￥1,000～￥1,999",5,30 Seats (カウンター席、座敷あり),Available,"￥3,000～￥3,999",All-you-can-drink,"
                  Saga
                ","Counter,Tatami seats",,日曜日,Yakitori (Grilled chicken),050-5570-7753 (+81-50-5570-7753) (For reservation only) 0952-26-2272 (+81-952-26-2272) (For inquiry) 予約可,no
3.00,Saga,"
                  050-5571-8262
                  (+81-50-5571-8262)                ","佐賀駅バスセンターからバスで5分「中の小路」下車、徒歩2分 1,145 meters from Saga.",4-33 Hachimankoji Saga Saga 佐賀県 佐賀市 八幡小路 4-33 Show larger map,3.00,さらら３１４７,http://hitosara.com/0005023112/,"Izakaya (Tavern), Italian, Dining bar",,Dining bar,Smoking establishment,"Dinner: ￥3,000～￥3,999 The amount of money spent by actual store visitors.",Izakaya (Tavern),貸切は1F50名、2F60名～受付可。お気軽にお電話ください。,,no (近隣にコインパーキングあり),Wanwan (椀々),"Japanese spirits (Shochu),Wines,Cocktails","【月～木】18：00～1：00（L.O24：30）【金・土・祝前】18：00～2：00（L.O1：30）ローカルプレイス⇒http://www.localplace.jp/t100124682/ Late night (After 10 PM),Late night (After midnight)",,https://tabelog.com/en/saga/A4101/A410101/41000160/,Available (VISA、MASTER、JCB、AMEX、Diners),"Banquets/party,With friends/co-workers This occasion is recommended by many people.",Wanwan,3.00,,3,120 Seats (カウンター6席、≪1F≫テーブル6名×5、4名×3 ≪2F≫座敷20名×1、40名×1),Available (Over 50 people、For 20-50 people),"￥3,000～￥3,999",All-you-can-drink,"
                  Saga
                ",Tatami seats,,毎週日曜日,Italian,050-5571-8262 (+81-50-5571-8262) (For reservation only) 0952-25-6774 (+81-952-25-6774) (For inquiry) 予約可,yes For 10-20 people、For 20-30 people、Over 30 people
-,Saga,"
                  0955-22-5790
                  (+81-955-22-5790)                ",JR伊万里駅より徒歩1分。南に進み、ガストのある交差点を左折。左手です。 92 meters from Imari.,539 Shintencho Imari Saga 佐賀県 伊万里市 新天町 539 伊万里駅南 Show larger map,-,ＲＺking.,http://hitosara.com/0006033770/,"Izakaya (Tavern), Dining bar, Kushi-age (Fried Skewer)",docomo、au、SoftBank、Y!mobile,Kushi-age (Fried Skewer),Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),,,yes (駐車場完備),Kirahiiragi (きら・柊),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails",◆17:00～23:00◆,"Beautiful scenery,Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4102/A410202/41002887/,Available (VISA、MASTER、JCB、AMEX、Diners),,Kirahiiragi,-,,1,100 Seats (100人 ( 宴会・パーティー時 着席:100人 ) ),Available (Over 50 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Imari
                ","Stylish space,Comfortable space,Wide seat,Counter,Tatami seats,Horigotatsu seats,Wheelchair access","All-you-can-eat,Course (¥3,000 - ¥4,000)",年中無休,Dining bar,0955-22-5790 (+81-955-22-5790) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people、For 20-30 people、Over 30 people (全室個室)
3.44,Saga,"
                  050-5869-9795
                  (+81-50-5869-9795)                ","高速鳥栖インターより車で１５分。 1,492 meters from Hizen Asahi.",1978-3-2 Makimachi Tosu Saga 佐賀県 鳥栖市 真木町 1978-3-2 Show larger map,3.44,YAMAジー,https://www.facebook.com/pages/LION-CURRY/483879061665371,"Cafe, Sri Lanka cuisine, Soup Curry",docomo、au、SoftBank、Y!mobile,Soup Curry,Smoking establishment,"Dinner: ￥1,000～￥1,999 Lunch: ￥1,000～￥1,999",Cafe,◆ランチメニューは800円～◆ディナーメニューは880円～,"Health/beauty menu,Vegetarian menu",yes (店舗前に専用駐車場完備),Raiankari (LION CURRY),"Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese spirits (Shochu),Particular about wines,Particular about cocktails","【ランチ】◆月～金 11:30～15:00（OS14:30） ◆土日祝 11:30～16:00（OS15:30）【ディナー】◆17:00～22:00（OS21:30） Lunch, Open on sundays","Beautiful scenery,Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410103/41003052/,Not Available,"With family/kids ,Date,Alone,With friends/co-workers This occasion is recommended by many people.",Raiankari,3.08,"￥1,000～￥1,999",35,40 Seats (テーブル席 34席 ・ カウンター席 6席),Available (For 20-50 people),"￥1,000～￥1,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Hizen Asahi
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter","All-you-can-eat,Course (up to ¥3,000),Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000)",不定休 ※店舗へお問い合わせください！,Sri Lanka cuisine,050-5869-9795 (+81-50-5869-9795) (For reservation only) 0942-84-8688 (+81-942-84-8688) (For inquiry) 予約可,yes For 20-30 people、Over 30 people (団体様のご利用で個室として貸切可能です。)
3.04,Saga,"
                  050-5869-7165
                  (+81-50-5869-7165)                ",JR佐賀駅北口から徒歩3分 209 meters from Saga.,2-4-56 Konohigashi Saga Saga 佐賀県 佐賀市 神野東 2-4-56 Show larger map,3.00,PQPQ5777,http://locoplace.jp/t000438106/,"Izakaya (Tavern), Mizutaki, Regional Cuisine (Other)",docomo、au、SoftBank,Regional Cuisine (Other),Smoking establishment,"Dinner: ￥2,000～￥2,999 Lunch: ～￥999",Izakaya (Tavern),,"Particular about vegetable,Particular about fish",yes (6台分の駐車スペースあり),Kaisenizakayadaiichisankichimaru (第一三吉丸),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu),Particular about wines","昼:11:30～14:00夜:17:00～24:00(L.O.23:30) Lunch,Late night (After 10 PM), Open on sundays","Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410101/41001285/,Not Available,"Banquets/party,Alone,With friends/co-workers This occasion is recommended by many people.",Kaisenizakayadaiichisankichimaru,3.00, ～￥999,6,115 Seats (1Ｆカウンター8席・テーブル27席/2Ｆ座敷80席),Available (For 20-50 people、Over 50 people),"￥2,000～￥2,999","All-you-can-drink,All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Couples seats,Counter,Tatami seats","Course (¥3,000 - ¥4,000),Course (¥4,000 - ¥5,000),Course (¥5,000 - ¥8,000)",第1・3日曜日,Mizutaki,050-5869-7165 (+81-50-5869-7165) (For reservation only) 0952-33-5334 (+81-952-33-5334) (For inquiry) 予約可,yes For 8 people、For 20-30 people、Over 30 people (2階に最大80名様対応可能な座敷がございます。)
-,Saga,"
                  050-5868-4155
                  (+81-50-5868-4155)                ",JR長崎本線佐賀駅南口より、駅前中央通りを南へ。向かいには佐賀銀行本店有り。 479 meters from Saga.,1-6-13 Tojin Saga Saga 佐賀県 佐賀市 唐人 1-6-13 Show larger map,3.00,PQPQ5777,,"Izakaya (Tavern), Motsu Nabe (Offel Hot Pot), Seafood",docomo、SoftBank,Seafood,Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),,Particular about fish,no (近隣のコインパーキングをご利用下さい。),Izakayayoiyoi (居酒屋よいよい),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu)",【月～木・日】 17:30～23:00 (L.O.22:30)【金・土】 17:30～00:00 (L.O.23:30) Late night (After 10 PM),"Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410101/41003088/,Not Available,"Banquets/party,With friends/co-workers This occasion is recommended by many people.",Izakayayoiyoi,3.00,,1,35 Seats (宴会・パーティー時 着席:40人 ),Available,"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Saga
                ","Comfortable space,Wide seat,Counter,Tatami seats","Course (up to ¥3,000)",不定休,Motsu Nabe (Offel Hot Pot),050-5868-4155 (+81-50-5868-4155) (For reservation only) 0952-41-2288 (+81-952-41-2288) (For inquiry) 予約可,yes For 4 people、For 6 people、For 8 people
3.05,Saga,"
                  050-5868-1164
                  (+81-50-5868-1164)                ","1,244 meters from Nabeshima.",6丁目1-15 Kaisei Saga Saga 佐賀県 佐賀市 開成 6丁目1-15 Show larger map,3.05,tomoko_k,,"Pork Shabu Shabu, Izakaya (Tavern), Japanese food (other)",,Japanese food (other),−,"Dinner: ￥1,000～￥1,999 Lunch: ￥1,000～￥1,999 The amount of money spent by actual store visitors.",Pork Shabu Shabu,,,yes,Butahachi (豚八 佐賀店),,ランチ 11:30～14:30(L.O)ディナー 17:30～22:30(L.O),,https://tabelog.com/en/saga/A4101/A410101/41004250/,,"With family/kids ,With friends/co-workers This occasion is recommended by many people.",Butahachi,-,"￥1,000～￥1,999",5,,,"￥1,000～￥1,999",,"
                  Nabeshima
                ",,"Course (up to ¥3,000)",不定休,Izakaya (Tavern),050-5868-1164 (+81-50-5868-1164) (For reservation only) 0952-32-0164 (+81-952-32-0164) (For inquiry) 予約可,
3.16,Saga,"
                  050-5868-7251
                  (+81-50-5868-7251)                ",JR鳥栖駅から徒歩5分 485 meters from Tosu.,704-8 Hondosumachi Tosu Saga 佐賀県 鳥栖市 本鳥栖町 704-8 Show larger map,3.39,rumis,http://www.saburo36.com/,"European-style Curry, Parfait, Hot Pot (other)",docomo、au、SoftBank、Y!mobile,Hot Pot (other),Non-smoking establishment,"Dinner: ￥1,000～￥1,999 Lunch: ～￥999",European-style Curry,,,yes,kare-kafesaburo- (curry cafe SABURO),"Japanese spirits (Shochu),Wines,Cocktails","11：30～15：00（ＯＳ14：30）18：00～22：00（ＯＳ21：30）※火曜日はランチのみの営業 Lunch, Open on sundays","Secluded restaurant,House restaurant",https://tabelog.com/en/saga/A4101/A410103/41000542/,Not Available,"Date,With friends/co-workers This occasion is recommended by many people.",kare-kafesaburo-,3.25, ～￥999,20,28 Seats (テーブル８席[２名席×５、3名席×１、4名席×１、5名席×１] ※ソファーとテーブルの組み合わせにより席数を増やす事も可能),Available (Up to 20 people、For 20-50 people、Over 50 people),"￥1,000～￥1,999",All-you-can-drink,"
                  Tosu
                ","Stylish space,Comfortable space,Wide seat,Counter,Sofa seats","Course (up to ¥3,000)",毎週水曜日 火曜はランチのみの営業,Parfait,050-5868-7251 (+81-50-5868-7251) (For reservation only) 0942-82-9563 (+81-942-82-9563) (For inquiry) 予約可,no
3.02,Saga,"
                  050-5589-2793
                  (+81-50-5589-2793)                ","JR佐賀駅より車で14分208号線沿い 2,886 meters from Saga.",Saga Saga 佐賀県 佐賀市 本庄町大字袋263-1 Show larger map,3.02,leoryu,http://www.localplace.jp/t100066089/,"Cafe, Parfait, Pancake",docomo、au、SoftBank、Y!mobile,Pancake,Non-smoking establishment,"Dinner: ￥1,000～￥1,999 Lunch: ～￥999",Cafe,,,yes (40台分ございます。),honjouko-hi-ufufu (本庄珈琲うふふ),,"11:00～24:00(L.O.23:30) Lunch,Late night (After 10 PM), Open on sundays",Secluded restaurant,https://tabelog.com/en/saga/A4101/A410101/41005145/,Not Available,"With family/kids ,Date,With friends/co-workers This occasion is recommended by many people.",honjouko-hi-ufufu,-, ～￥999,5,100 Seats (テーブル席×21卓),Not Available,"￥1,000～￥1,999",,"
                  Saga
                ","Stylish space,Comfortable space,Wide seat,Sofa seats","Course (up to ¥3,000)",元旦・大晦日,Parfait,050-5589-2793 (+81-50-5589-2793) (For reservation only) 0952-97-9931 (+81-952-97-9931) (For inquiry) 予約可,no
3.11,Saga,"
                  050-5570-6551
                  (+81-50-5570-6551)                ",松浦鉄道「三代橋駅」から徒歩5分ＪＲ有田駅からタクシーで5分（2km）西九州道「佐世保三川内I.C.」から車で8分（4km）ＪＲ有田駅から有田市コミュニティバス「東西線」（平日のみ運行）で5分『三代橋駅入口』or『三代橋』停留所下車し、徒歩5～7分 263 meters from Midaibashi.,佐賀県西松浦郡有田町南原甲444 佐賀県 西松浦郡有田町 南原 甲444 Show larger map,3.11,モグモグ♪パクパク,http://oota.sagafan.jp/,"Cafe, Curry rice, Cake",,Cake,Non-smoking establishment,"Dinner: ￥1,000～￥1,999 Lunch: ￥1,000～￥1,999",Cafe,ローカルプレイスページ⇒http://www.localplace.jp/t100053094/access,Particular about vegetable,yes (15台),Sougyararioota (創ギャラリーおおた 本店),,"11:00～17:00（L.O） Lunch, Open on sundays",House restaurant,https://tabelog.com/en/saga/A4102/A410202/41000143/,Not Available,"With family/kids ,Alone,With friends/co-workers This occasion is recommended by many people.",Sougyararioota,3.02,"￥1,000～￥1,999",32,24 Seats (カウンター4席、テーブル6名×1、2名×1、4名×3),Available (For 20-50 people),"￥1,000～￥1,999",,"
                  Midaibashi
                ","Comfortable space,Counter","Course (up to ¥3,000)",不定休,Curry rice,050-5570-6551 (+81-50-5570-6551) (For reservation only) 0955-42-4275 (+81-955-42-4275) (For inquiry) 予約可,no
-,Saga,"
                  050-5589-9369
                  (+81-50-5589-9369)                ",ＪＲ鳥栖駅から徒歩５分 411 meters from Tosu.,Taishomachi Tosu Saga 佐賀県 鳥栖市 大正町 786-6 Show larger map,-,91091982,http://www.localplace.jp/t100076772/,"Izakaya (Tavern), Yakitori (Grilled chicken), Creative cuisine",docomo、au、SoftBank、Y!mobile,Creative cuisine,Non-smoking establishment,"Dinner: ￥3,000～￥3,999 Lunch: ～￥999",Izakaya (Tavern),★１5名様より貸し切りできます。☆月～木は10名様～の貸切も承ります（※要相談）★昼宴会、時間外予約対応！サプライズ演出、ケーキのご用意対応可能です♪（ケーキの持ち込みもOK！）★コースの内容変更のご要望、ご相談ください！★Wi-Fi設置!,"Particular about vegetable,Particular about fish,Health/beauty menu,Vegetarian menu",yes (近辺に無料駐車場あります。),watoinkokoronoeki (和と印こころのえき),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Wines,Cocktails,Particular about Japanese sake (Nihonshu),Particular about Japanese spirits (Shochu)",【ランチタイム】11時30分～14:30★毎週火～木曜日の3日間のみランチ営業！【夜】17時～22時 Lunch,House restaurant,https://tabelog.com/en/saga/A4101/A410103/41005549/,Not Available,Banquets/party This occasion is recommended by many people.,watoinkokoronoeki,-, ～￥999,1,28 Seats (カウンター席６席 ２名様用テーブル席もあります),Available (Up to 20 people),"￥3,000～￥3,999","All-you-can-drink,All-you-can-drink (¥3,000 - ¥4,000)","
                  Tosu
                ","Stylish space,Comfortable space,Wide seat,Counter","Course (up to ¥3,000),Course (¥3,000 - ¥4,000)",日曜日（10名様以上での御予約の場合営業致します。）,Yakitori (Grilled chicken),050-5589-9369 (+81-50-5589-9369) (For reservation only) 0942-85-8199 (+81-942-85-8199) (For inquiry) 予約可,no (１０名様から店内貸し切り応相談)
-,Saga,"
                  050-5590-9762
                  (+81-50-5590-9762)                ",唐津バスセンターから徒歩10分ＪＲ唐津駅より徒歩10分 507 meters from Karatsu.,2081-1 Zaimokumachi Karatsu Saga 佐賀県 唐津市 材木町 2081-1 さくらビル 1F・2F Show larger map,-,,https://ja-jp.facebook.com/%E7%B6%B2%E7%84%BC%E9%B3%A5-%E9%81%94%E4%B8%B8-1425611187725130/,"Izakaya (Tavern), Yakiniku (BBQ Beef), Fowl",,Fowl,Smoking establishment,"Dinner: ￥3,000～￥3,999",Izakaya (Tavern),,,no (材木町駐車場をご利用の際は、駐車料金を200円返金致します。),amiyakitoridaruma (網焼鳥 達丸),"Japanese sake (Nihonshu),Japanese spirits (Shochu),Cocktails","17:00～24:00（23：30ＯＳ）*★*ローカルプレイス*★*http://www.localplace.jp/t100126746/ Late night (After 10 PM), Open on sundays",House restaurant,https://tabelog.com/en/saga/A4102/A410201/41005366/,Not Available,,amiyakitoridaruma,-,,0,60 Seats (6名テーブル×3、6名個室×1、10名個室×1、20名個室×1),Available (For 20-50 people),"￥3,000～￥3,999","All-you-can-drink (¥3,000 - ¥4,000),All-you-can-drink (¥4,000 - ¥5,000)","
                  Karatsu
                ","Comfortable space,Wide seat,Sofa seats,Tatami seats",,木曜,Yakiniku (BBQ Beef),050-5590-9762 (+81-50-5590-9762) (For reservation only) 0955-75-3330 (+81-955-75-3330) (For inquiry) 予約可,yes For 2 people、For 4 people、For 6 people、For 8 people、For 10-20 people (※２階貸し切り：30名～ＯＫです。 ＭＡＸ：42名)
